course,crn,instructor,days,start_time,end_time
KINE 300,21524,"Schell, Wendy","Tue,Thu",08:00,09:15
KINE 300,21524,"Schell, Wendy",Wed,08:00,08:50
KINE 301,20414,"Kabiri, Laura","Tue,Thu",14:30,15:45
KINE 302,21119,"Eng, Bradley","Mon,Wed",08:00,09:15
KINE 310,20248,"Perkins Ball, Amanda","Mon,Wed",11:00,12:15
KINE 311,20964,"Perkins Ball, Amanda","Mon,Wed",14:00,15:15
KINE 319,21216,"Rodriguez, Augusto","Tue,Thu",13:00,14:15
KINE 320,22312,"Kabiri, Laura",Mon,13:00,13:50
KINE 321,20083,"Gibson, Brian","Tue,Thu",10:50,12:05
KINE 326,22644,"Perkins, Heidi","Mon,Wed",11:00,12:15
KINE 351,24118,"Schell, Wendy",Wed,16:00,18:00
KINE 403,23728,"Anding, Roberta","Tue,Thu",08:00,09:15
KINE 419,23512,"Kabiri, Laura","Tue,Thu",16:00,17:15
KINE 440,23020,"Agha, Nadia","Tue,Thu",09:25,10:40
KINE 455,23908,"Agha, Nadia","Tue,Thu",14:30,15:45
KINE 498,23513,"DeWitt, John","Mon,Wed",08:00,09:15
EEPS 101,24675,"Gordon, Richard G.","Mon,Wed,Fri",10:00,10:50
EEPS 106,24676,"Diedesch, Tim","Tue,Thu",13:00,14:15
EEPS 107,22634,"Dee, Sylvia","Mon,Wed",14:00,15:15
EEPS 108,22983,"Schmandt, Brandon","Tue,Thu",09:25,10:40
EEPS 110,22636,"Diedesch, Tim","Mon,Wed,Fri",13:00,13:50
EEPS 114,22251,"Morgan, Julia",Tue,16:00,16:50
EEPS 116,22702,"Izidoro Ferreira da Costa, Andre","Mon,Wed,Fri",11:00,11:50
EEPS 220,24677,"Zelt, Colin A. Ajo-Franklin, Jonathan","Tue,Thu",10:50,12:05
EEPS 307,22252,"Cohan, Daniel","Tue,Thu",09:25,10:40
EEPS 323,22253,"French, Melodie Schmandt, Brandon","Mon,Wed,Fri",10:00,10:50
EEPS 323,22253,"French, Melodie Schmandt, Brandon",Thu,13:00,15:50
EEPS 325,22254,"Bunge, Isabelle","Mon,Wed,Fri",11:00,11:50
EEPS 325,22254,"Bunge, Isabelle",Tue,13:00,15:50
