course,crn,instructor,days,start_time,end_time
MECH 200,23225,"Schaefer, Laura","Tue,Thu",13:00,14:15
MECH 200,25504,"Trevas, David","Tue,Thu",13:00,14:15
MECH 203,22653,"Trevas, David","Mon,Wed,Fri",11:00,11:50
MECH 210,25505,"Fregly, BJ","Mon,Wed,Fri",14:00,14:50
MECH 231,21694,"Dugnani, Roberto",Tue,15:10,17:40
MECH 231,21695,"Dugnani, Roberto",Thu,15:10,17:40
MECH 231,25758,"Dugnani, Roberto",Mon,15:10,17:40
MECH 310,23226,"Dugnani, Roberto","Mon,Wed,Fri",09:00,09:50
MECH 310,24127,"Davydov, Sasha","Mon,Wed,Fri",10:00,10:50
MECH 311,20035,"Nagarajaiah, Satish","Tue,Thu",13:00,14:15
MECH 314,23937,"Brake, Matthew",Wed,09:00,09:50
MECH 314,23938,"Brake, Matthew",Wed,10:00,10:50
MECH 314,23935,"Brake, Matthew",Wed,11:00,11:50
MECH 314,23943,"Brake, Matthew",Wed,19:00,19:50
MECH 314,24231,"Brake, Matthew",Tue,16:30,17:20
MECH 315,21654,"Brake, Matthew","Tue,Thu",09:25,10:40
MECH 331,20036,"Yavas, Denizhan",Mon,15:00,17:30
MECH 331,20037,"Yavas, Denizhan",Wed,15:00,17:30
MECH 331,25759,"Yavas, Denizhan",Tue,15:00,17:30
MECH 340,20038,"Henricks, Richard",Mon,14:00,16:50
MECH 340,20160,"Henricks, Richard",Tue,14:30,17:20
MECH 340,20039,"Henricks, Richard",Wed,14:00,16:50
MECH 340,20161,"Henricks, Richard",Thu,14:30,17:20
MECH 340,23520,"Henricks, Richard",Fri,14:00,16:50
MECH 350,21655,,"Tue,Thu",10:50,12:05
MECH 408,20178,"Trevas, David","Mon,Wed,Fri",09:00,09:50
MECH 412,23104,"Spanos, Pol","Tue,Thu",10:50,12:05
MECH 417,22816,"Avila, Raudel","Tue,Thu",13:00,14:15
MECH 420,25854,"Ghorbel, Fathi","Mon,Wed,Fri",11:00,11:50
MECH 474,25741,"Tezduyar, Tayfun","Tue,Thu",09:25,10:40
MECH 481,20041,"Wehmeyer, Geoff","Tue,Thu",09:25,10:40
MECH 481,22484,"Bayazitoglu, Yildiz","Tue,Thu",13:00,14:15
MECH 487,25511,"Preston, Daniel","Tue,Thu",16:00,17:15
MECH 488,25848,"O'Malley, Marcia","Tue,Thu",16:00,17:15
MECH 489,25727,"Lillehoj, Peter","Tue,Thu",10:50,12:05
MECH 498,25508,"Farrell, Logan","Tue,Thu",08:00,09:15
MECH 502,23106,"Spanos, Pol","Tue,Thu",10:50,12:05
MECH 503,26031,,"Mon,Wed",18:00,19:15
MECH 517,23031,"Avila, Raudel","Tue,Thu",13:00,14:15
MECH 525,23994,"Kong, Yong Lin","Mon,Wed",14:00,15:15
MECH 544,23936,"Tezduyar, Tayfun","Mon,Wed,Fri",09:00,09:50
MECH 560,23524,"Srivastava, Gagan","Tue,Thu",18:00,19:30
MECH 578,21464,"Davis, Diane","Tue,Thu",16:00,17:15
MECH 585,25510,"Sanchez, Vanessa","Tue,Thu",09:25,10:40
MECH 587,25723,"Preston, Daniel","Tue,Thu",16:00,17:15
MECH 588,25849,"O'Malley, Marcia","Tue,Thu",16:00,17:15
MECH 589,23525,"Lillehoj, Peter","Tue,Thu",10:50,12:05
MECH 590,24164,"Radke, Christopher",Fri,13:00,15:50
MECH 596,25586,"Dugnani, Roberto","Mon,Wed,Fri",11:00,11:50
MECH 598,25633,"Farrell, Logan","Tue,Thu",08:00,09:15
MECH 606,20042,"O'Malley, Marcia",Wed,15:15,17:29
MECH 620,25857,"Ghorbel, Fathi","Mon,Wed,Fri",11:00,11:50
MECH 654,25735,"Tezduyar, Tayfun","Tue,Thu",09:25,10:40
MECH 665,25509,"Brake, Matthew",Tue,15:30,17:59
FWIS 201,23736,"Burch, Paul","Tue,Thu",14:30,15:45
FWIS 206,24338,"Smith, Amanda","Tue,Thu",09:25,10:40
FWIS 207,23863,"Derrick, Scott","Mon,Wed,Fri",13:00,13:50
FWIS 211,23119,"Stenson, Jared","Tue,Thu",14:30,15:45
FWIS 216,24339,"Sanders, Dru","Mon,Wed,Fri",14:00,14:50
FWIS 218,24340,"Cook, Nina","Tue,Thu",09:25,10:40
FWIS 218,24341,"Cook, Nina","Tue,Thu",10:50,12:05
FWIS 219,25641,"Monroe, Bill","Mon,Wed",16:00,17:15
FWIS 222,24342,"Cook, Nina","Tue,Thu",13:00,14:15
FWIS 225,23721,"Garib, Ali","Tue,Thu",14:30,15:45
FWIS 225,24343,"Garib, Ali","Tue,Thu",16:00,17:15
FWIS 230,24345,"Smith, Amanda","Tue,Thu",10:50,12:05
FWIS 233,24346,"Yan, Jiajun","Tue,Thu",13:00,14:15
FWIS 234,25751,"Suzuki, Mamiko","Mon,Wed",16:00,17:15
FWIS 235,24347,"Gan, Quan","Tue,Thu",10:50,12:05
FWIS 237,23215,"Klein, Andrew","Mon,Wed,Fri",13:00,13:50
FWIS 237,23203,"Nixon, Burke","Mon,Wed,Fri",13:00,13:50
FWIS 242,23581,"Metcalf, Alida","Mon,Wed,Fri",13:00,13:50
FWIS 243,24348,"Lee, Cin-Ty","Tue,Thu",09:25,10:40
FWIS 244,25642,"McCabe, Thomas","Mon,Wed",16:00,17:15
FWIS 246,24349,"Osei-Opare, Nana","Mon,Wed,Fri",10:00,10:50
FWIS 250,25703,"Fanger, Claire","Tue,Thu",10:50,12:05
FWIS 253,25648,"Yunis, Harvey","Tue,Thu",16:00,17:15
FWIS 255,24350,"Ryang, Sonia",Tue,13:00,15:30
FWIS 256,24351,"Fache, Caroline","Mon,Wed,Fri",09:00,09:50
FWIS 258,24352,"Georgic, Quinn","Tue,Thu",16:00,17:15
FWIS 261,23741,"McCullough, Meredith","Mon,Wed,Fri",14:00,14:50
FWIS 261,25752,"McCullough, Meredith","Mon,Wed,Fri",15:00,15:50
FWIS 265,24353,"Huseby, Amy","Tue,Thu",14:30,15:45
FWIS 268,23735,"Fleishacker, Alan","Tue,Thu",13:00,14:15
FWIS 269,25643,"Suetterlin, Nicole","Tue,Thu",10:50,12:05
FWIS 270,24354,"Neill, Heather E.","Mon,Wed,Fri",09:00,09:50
FWIS 270,24355,"Neill, Heather E.","Mon,Wed,Fri",10:00,10:50
FWIS 271,24159,"Zaytseva, Arina","Mon,Wed",16:00,17:15
FWIS 276,24356,"Schoenberger, Kevin","Tue,Thu",14:30,15:45
FWIS 276,25744,"Schoenberger, Kevin","Mon,Wed",16:00,17:15
FWIS 278,25637,"Saenz, Victor","Mon,Wed,Fri",11:00,11:50
FWIS 279,24357,"Kimbro, Robert","Mon,Wed,Fri",09:00,09:50
FWIS 280,25753,"McCullough, Meredith","Mon,Wed,Fri",10:00,10:50
FWIS 287,24358,"Ray, Patrick","Tue,Thu",09:25,10:40
FWIS 288,24359,"Nixon, Burke","Mon,Wed,Fri",14:00,14:50
FWIS 289,25638,"Richardson, Laura","Tue,Thu",14:30,15:45
FWIS 291,23007,"Richardson, Laura","Tue,Thu",13:00,14:15
FWIS 291,23583,"Messmer, David","Tue,Thu",13:00,14:15
FWIS 295,23837,"Klein, Andrew","Mon,Wed,Fri",10:00,10:50
FWIS 295,24360,"Klein, Andrew","Mon,Wed,Fri",11:00,11:50
FWIS 297,23009,"Cone, Michael","Mon,Wed,Fri",15:00,15:50
CHEM 122,22163,"Tran, Lesa","Mon,Wed,Fri",10:00,10:50
CHEM 122,22164,"Tran, Lesa Wittung Stafshede, Pernilla","Mon,Wed,Fri",13:00,13:50
CHEM 124,20158,"Kobylianskii, Krista",Mon,14:00,17:30
CHEM 124,20031,"Kobylianskii, Krista",Tue,14:00,14:29
CHEM 124,20031,"Kobylianskii, Krista",Tue,14:30,17:30
CHEM 124,20032,"Kobylianskii, Krista",Wed,14:00,17:30
CHEM 124,20030,"Nankya, Rosalynn Kobylianskii, Krista",Wed,18:30,22:00
CHEM 124,22463,"Kobylianskii, Krista",Thu,14:00,14:29
CHEM 124,22463,"Kobylianskii, Krista",Thu,14:30,17:30
CHEM 176,24457,"Whitmire, Kenton","Tue,Thu",10:50,12:05
CHEM 178,24014,"Tran, Lesa",Tue,15:00,16:30
CHEM 178,24014,"Tran, Lesa",Thu,15:00,17:30
CHEM 210,24458,"Tour, James",Fri,15:00,15:50
CHEM 211,20150,"Yearty, Kasey Leigh","Tue,Thu",10:50,12:05
CHEM 213,20551,"Yearty, Kasey Leigh",Fri,09:00,09:50
CHEM 213,22462,"Yearty, Kasey Leigh",Fri,10:00,10:50
CHEM 213,24092,"Yearty, Kasey Leigh",Fri,11:00,11:50
CHEM 213,24051,"Yearty, Kasey Leigh Nankya, Rosalynn",Fri,13:00,13:50
CHEM 213,22496,"Yearty, Kasey Leigh Nankya, Rosalynn",Fri,14:00,14:50
CHEM 213,23306,"Yearty, Kasey Leigh",Fri,10:00,10:50
CHEM 213,24027,"Yearty, Kasey Leigh Nankya, Rosalynn",Fri,11:00,11:50
CHEM 213,24029,"Yearty, Kasey Leigh",Fri,13:00,13:50
CHEM 215,21106,"McNeil, Carrie",Mon,13:00,16:30
CHEM 215,24461,"McNeil, Carrie Nankya, Rosalynn",Mon,18:30,22:00
CHEM 215,24462,"McNeil, Carrie",Tue,13:00,16:30
CHEM 215,24463,"McNeil, Carrie Nankya, Rosalynn",Tue,18:30,22:00
CHEM 302,21314,"Bagchi, Kushal","Tue,Thu",10:50,12:05
CHEM 313,22962,"Zubarev, Eugene","Tue,Thu",10:50,12:05
CHEM 314,22963,"O'Leary, Lesley",Mon,09:00,09:50
CHEM 314,22964,"O'Leary, Lesley",Mon,10:00,10:50
CHEM 314,22965,"O'Leary, Lesley",Mon,11:00,11:50
CHEM 314,22966,"O'Leary, Lesley",Mon,13:00,13:50
CHEM 314,24465,"O'Leary, Lesley",Mon,14:00,14:50
